_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
p5Ez41Zu6B,2020-04-14T03:00:00.000Z,2303167,0,0,0,0,0,0,0,0,aplicacao-web,_User$auVMjEVEVz,Santa Catarina,Itapema,Santa Catarina,Itapema,true,false,2020-04-15T13:44:30.085Z,2020-04-16T13:56:13.656Z
eUOMsSt7T7,2020-04-15T03:00:00.000Z,5935377	,1,0,0,0,0,1,0,0,parse-cloud,_User$WBa5nfe9P9,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,false,false,2020-04-15T13:50:47.256Z,2020-08-01T20:08:13.116Z
QaG4oIBrMa,2020-04-15T14:57:16.255Z,0012599,15,1,3,2,0,0,0,0,parse-cloud,_User$6oxZQHBPQ7,Rio de Janeiro,Niterói,Rio de Janeiro,Niterói,false,false,2020-04-15T15:20:57.033Z,2020-08-01T20:02:12.729Z
ifya31F3ZF,2020-03-24T03:00:00.000Z,2562871,9,0,1,0,0,0,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T16:58:32.839Z,2020-08-01T21:40:37.624Z
dkurDhelx9,2020-04-01T03:00:00.000Z,2252228,26,0,1,0,0,0,0,0,parse-cloud,_User$tkAdHTNhC9,Rio Grande do Sul,Encantado,Rio Grande do Sul,Encantado,false,false,2020-04-15T17:02:53.877Z,2020-08-01T21:37:53.664Z
yhrIosmBut,2020-04-02T03:00:00.000Z,2252228,25,0,0,0,0,1,0,0,parse-cloud,_User$tkAdHTNhC9,Rio Grande do Sul,Encantado,Rio Grande do Sul,Encantado,false,false,2020-04-15T17:05:56.421Z,2020-08-01T21:31:13.994Z
wo5LH0DBa5,2020-04-03T03:00:00.000Z,2252228,23,0,1,0,0,0,0,0,parse-cloud,_User$tkAdHTNhC9,Rio Grande do Sul,Encantado,Rio Grande do Sul,Encantado,false,false,2020-04-15T17:06:53.924Z,2020-08-01T21:24:58.530Z
4huqGyzGGC,2020-04-15T03:00:00.000Z,2240335,17,5,0,1,0,0,0,0,parse-cloud,_User$Enseqp32PQ,Rio Grande do Sul,Farroupilha,Rio Grande do Sul,Farroupilha,false,false,2020-04-15T17:07:29.899Z,2020-08-01T20:08:26.411Z
LMMGiXdFV9,2020-04-04T03:00:00.000Z,2252228,19,0,1,0,0,0,0,0,parse-cloud,_User$tkAdHTNhC9,Rio Grande do Sul,Encantado,Rio Grande do Sul,Encantado,false,false,2020-04-15T17:08:01.784Z,2020-08-01T21:18:40.146Z
zQWnrlFWwD,2020-03-25T03:00:00.000Z,2562871,5,0,0,0,0,1,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T17:09:06.940Z,2020-08-01T21:40:20.770Z
PMjCPmqFXB,2020-04-05T03:00:00.000Z,2252228,19,0,1,0,0,0,0,0,parse-cloud,_User$tkAdHTNhC9,Rio Grande do Sul,Encantado,Rio Grande do Sul,Encantado,false,false,2020-04-15T17:09:20.443Z,2020-08-01T21:12:37.717Z
Vv6h4hpkVD,2020-03-26T03:00:00.000Z,2562871,7,0,2,0,0,1,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T17:09:43.530Z,2020-08-01T21:40:04.969Z
yyVA2JzqSq,2020-03-28T03:00:00.000Z,2562871,4,0,3,0,0,0,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T17:10:17.027Z,2020-08-01T21:39:30.503Z
cWZkNIwPWM,2020-04-06T03:00:00.000Z,2252228,24,0,1,0,0,0,0,0,parse-cloud,_User$tkAdHTNhC9,Rio Grande do Sul,Encantado,Rio Grande do Sul,Encantado,false,false,2020-04-15T17:10:36.053Z,2020-08-01T21:06:55.784Z
fCg9EKNel8,2020-03-29T03:00:00.000Z,2562871,3,0,3,0,0,2,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T17:10:55.445Z,2020-08-01T21:39:09.288Z
pQ2509nU6g,2020-03-30T03:00:00.000Z,2562871,4,0,0,0,0,4,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T17:11:22.146Z,2020-08-01T21:38:46.631Z
wXzaXitMHB,2020-04-01T03:00:00.000Z,2562871,5,0,2,0,0,0,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T17:12:07.821Z,2020-08-01T21:37:42.711Z
Y2uc59WSoE,2020-04-14T03:00:00.000Z,2240335,17,4,0,0,0,0,0,0,parse-cloud,_User$Enseqp32PQ,Rio Grande do Sul,Farroupilha,Rio Grande do Sul,Farroupilha,false,false,2020-04-15T17:12:35.406Z,2020-08-01T20:14:39.834Z
YH2fC0i9gP,2020-04-02T03:00:00.000Z,2562871,11,0,1,0,0,2,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T17:12:38.129Z,2020-08-01T21:31:08.620Z
