"CO_LEITO";"DS_LEITO";"TP_LEITO"
"01";"BUCO MAXILO FACIAL";"1"
"02";"CARDIOLOGIA";"1"
"03";"CIRURGIA GERAL";"1"
"04";"ENDOCRINOLOGIA";"1"
"05";"GASTROENTEROLOGIA";"1"
"06";"GINECOLOGIA";"1"
"07";"CIRURGICO/DIAGNOSTICO/TERAPEUTICO";"7"
"08";"NEFROLOGIAUROLOGIA";"1"
"09";"NEUROCIRURGIA";"1"
"10";"OBSTETRICIA CIRURGICA";"4"
"11";"OFTALMOLOGIA";"1"
"12";"ONCOLOGIA";"1"
"13";"ORTOPEDIATRAUMATOLOGIA";"1"
"14";"OTORRINOLARINGOLOGIA";"1"
"15";"PLASTICA";"1"
"16";"TORACICA";"1"
"31";"AIDS";"2"
"32";"CARDIOLOGIA";"2"
"33";"CLINICA GERAL";"2"
"34";"CRONICOS";"6"
"35";"DERMATOLOGIA";"2"
"36";"GERIATRIA";"2"
"37";"HANSENOLOGIA";"2"
"38";"HEMATOLOGIA";"2"
"40";"NEFROUROLOGIA";"2"
"41";"NEONATOLOGIA";"2"
"42";"NEUROLOGIA";"2"
"43";"OBSTETRICIA CLINICA";"4"
"44";"ONCOLOGIA";"2"
"45";"PEDIATRIA CLINICA";"5"
"46";"PNEUMOLOGIA";"2"
"47";"PSIQUIATRIA";"6"
"48";"REABILITACAO";"6"
"49";"PNEUMOLOGIA SANITARIA";"6"
"64";"UNIDADE INTERMEDIARIA";"3"
"65";"UNIDADE INTERMEDIARIA NEONATAL";"3"
"66";"UNIDADE ISOLAMENTO";"2"
"67";"TRANSPLANTE";"1"
"68";"PEDIATRIA CIRURGICA";"5"
"69";"AIDS";"7"
"70";"FIBROSE CISTICA";"7"
"71";"INTERCORRENCIA POS-TRANSPLANTE";"7"
"72";"GERIATRIA";"7"
"73";"SAUDE MENTAL";"7"
"74";"UTI ADULTO - TIPO I";"3"
"75";"UTI ADULTO - TIPO II";"3"
"76";"UTI ADULTO - TIPO III";"3"
"77";"UTI PEDIATRICA - TIPO I";"3"
"78";"UTI PEDIATRICA - TIPO II";"3"
"79";"UTI PEDIATRICA - TIPO III";"3"
"80";"UTI NEONATAL - TIPO I";"3"
"81";"UTI NEONATAL - TIPO II";"3"
"82";"UTI NEONATAL - TIPO III";"3"
"83";"UTI DE QUEIMADOS";"3"
"84";"ACOLHIMENTO NOTURNO";"6"
"85";"UTI CORONARIANA TIPO II - UCO TIPO II";"3"
"86";"UTI CORONARIANA TIPO III - UCO TIPO III";"3"
"87";"SAUDE MENTAL";"2"
"88";"QUEIMADO ADULTO";"2"
"89";"QUEIMADO PEDIATRICO";"2"
"90";"QUEIMADO ADULTO";"1"
"91";"QUEIMADO PEDIATRICO";"1"
"92";"UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL";"3"
"93";"UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU";"3"
"94";"UNIDADE DE CUIDADOS INTERMEDIARIOS PEDIATRICO";"3"
"95";"UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO";"3"
"51";"UTI II ADULTO-SINDROME RESP. AGUDA GRAVE (SRAG)-COVID-19";"3"
"52";"UTI II PEDIATRICA-SINDROME RESP. AGUDA GRAVE (SRAG)-COVID-19";"3"
"96";"SUPORTE VENTILATÓRIO PULMONAR - COVID-19";"3"
